Lead,Wave_Type,Start,Peak,End,Amplitude,Frequency,Magnitude
lead_1,P_wave,0.2401527689369828,0.6404073838319542,1.0406619987269254,988.125,0.0,5021.005434782608
lead_1,P_wave,0.2401527689369828,0.6404073838319542,1.0406619987269254,988.125,1.2492048346055984,3333.717486950098
lead_1,P_wave,0.2401527689369828,0.6404073838319542,1.0406619987269254,988.125,2.498409669211197,1328.4069716498545
lead_1,P_wave,0.2401527689369828,0.6404073838319542,1.0406619987269254,988.125,3.747614503816795,1241.3463849693896
lead_1,P_wave,0.2401527689369828,0.6404073838319542,1.0406619987269254,988.125,4.996819338422394,437.21484012449974
lead_1,P_wave,0.2401527689369828,0.6404073838319542,1.0406619987269254,988.125,6.246024173027992,1043.5303347655258
lead_1,P_wave,0.2401527689369828,0.6404073838319542,1.0406619987269254,988.125,7.49522900763359,212.10692808059116
lead_1,P_wave,0.2401527689369828,0.6404073838319542,1.0406619987269254,988.125,8.74443384223919,1399.3464783213376
lead_1,P_wave,0.2401527689369828,0.6404073838319542,1.0406619987269254,988.125,9.993638676844787,1285.2586375595974
lead_1,P_wave,0.2401527689369828,0.6404073838319542,1.0406619987269254,988.125,11.242843511450385,957.4516133216816
lead_1,P_wave,0.2401527689369828,0.6404073838319542,1.0406619987269254,988.125,-12.492048346055984,1176.6032608695652
lead_1,P_wave,0.2401527689369828,0.6404073838319542,1.0406619987269254,988.125,-11.242843511450385,957.4516133216816
lead_1,P_wave,0.2401527689369828,0.6404073838319542,1.0406619987269254,988.125,-9.993638676844787,1285.2586375595974
lead_1,P_wave,0.2401527689369828,0.6404073838319542,1.0406619987269254,988.125,-8.74443384223919,1399.3464783213371
lead_1,P_wave,0.2401527689369828,0.6404073838319542,1.0406619987269254,988.125,-7.49522900763359,212.10692808059122
lead_1,P_wave,0.2401527689369828,0.6404073838319542,1.0406619987269254,988.125,-6.246024173027992,1043.5303347655258
lead_1,P_wave,0.2401527689369828,0.6404073838319542,1.0406619987269254,988.125,-4.996819338422394,437.21484012449974
lead_1,P_wave,0.2401527689369828,0.6404073838319542,1.0406619987269254,988.125,-3.747614503816795,1241.3463849693896
lead_1,P_wave,0.2401527689369828,0.6404073838319542,1.0406619987269254,988.125,-2.498409669211197,1328.4069716498545
lead_1,P_wave,0.2401527689369828,0.6404073838319542,1.0406619987269254,988.125,-1.2492048346055984,3333.717486950098
lead_1,P_wave,1.440916613621897,1.8411712285168682,2.2414258434118395,320.13586956521743,0.0,1236.195652173913
lead_1,P_wave,1.440916613621897,1.8411712285168682,2.2414258434118395,320.13586956521743,1.249204834605601,813.8698586257365
lead_1,P_wave,1.440916613621897,1.8411712285168682,2.2414258434118395,320.13586956521743,2.498409669211202,235.03038829820906
lead_1,P_wave,1.440916613621897,1.8411712285168682,2.2414258434118395,320.13586956521743,3.747614503816803,447.8867107209284
lead_1,P_wave,1.440916613621897,1.8411712285168682,2.2414258434118395,320.13586956521743,4.996819338422404,197.06534636933483
lead_1,P_wave,1.440916613621897,1.8411712285168682,2.2414258434118395,320.13586956521743,6.2460241730280055,308.2306016483975
lead_1,P_wave,1.440916613621897,1.8411712285168682,2.2414258434118395,320.13586956521743,7.495229007633606,231.17053668506455
lead_1,P_wave,1.440916613621897,1.8411712285168682,2.2414258434118395,320.13586956521743,8.744433842239207,249.43819276714393
lead_1,P_wave,1.440916613621897,1.8411712285168682,2.2414258434118395,320.13586956521743,9.993638676844808,300.3958160899882
lead_1,P_wave,1.440916613621897,1.8411712285168682,2.2414258434118395,320.13586956521743,11.24284351145041,180.08319125444714
lead_1,P_wave,1.440916613621897,1.8411712285168682,2.2414258434118395,320.13586956521743,-12.492048346056011,318.75000000000006
lead_1,P_wave,1.440916613621897,1.8411712285168682,2.2414258434118395,320.13586956521743,-11.24284351145041,180.08319125444714
lead_1,P_wave,1.440916613621897,1.8411712285168682,2.2414258434118395,320.13586956521743,-9.993638676844808,300.3958160899882
lead_1,P_wave,1.440916613621897,1.8411712285168682,2.2414258434118395,320.13586956521743,-8.744433842239207,249.43819276714387
lead_1,P_wave,1.440916613621897,1.8411712285168682,2.2414258434118395,320.13586956521743,-7.495229007633606,231.17053668506455
lead_1,P_wave,1.440916613621897,1.8411712285168682,2.2414258434118395,320.13586956521743,-6.2460241730280055,308.2306016483975
lead_1,P_wave,1.440916613621897,1.8411712285168682,2.2414258434118395,320.13586956521743,-4.996819338422404,197.06534636933483
lead_1,P_wave,1.440916613621897,1.8411712285168682,2.2414258434118395,320.13586956521743,-3.747614503816803,447.8867107209284
lead_1,P_wave,1.440916613621897,1.8411712285168682,2.2414258434118395,320.13586956521743,-2.498409669211202,235.03038829820906
lead_1,P_wave,1.440916613621897,1.8411712285168682,2.2414258434118395,320.13586956521743,-1.249204834605601,813.8698586257365
lead_1,P_wave,2.6416804583068108,3.0419350732017825,3.4421896880967537,263.3152173913043,0.0,1421.9021739130433
lead_1,P_wave,2.6416804583068108,3.0419350732017825,3.4421896880967537,263.3152173913043,1.2492048346055942,927.6894719079406
lead_1,P_wave,2.6416804583068108,3.0419350732017825,3.4421896880967537,263.3152173913043,2.4984096692111883,323.12380276054415
lead_1,P_wave,2.6416804583068108,3.0419350732017825,3.4421896880967537,263.3152173913043,3.7476145038167825,449.12968909105365
lead_1,P_wave,2.6416804583068108,3.0419350732017825,3.4421896880967537,263.3152173913043,4.996819338422377,108.82773711957934
lead_1,P_wave,2.6416804583068108,3.0419350732017825,3.4421896880967537,263.3152173913043,6.246024173027971,221.89498598715159
lead_1,P_wave,2.6416804583068108,3.0419350732017825,3.4421896880967537,263.3152173913043,7.495229007633565,66.03316109097791
lead_1,P_wave,2.6416804583068108,3.0419350732017825,3.4421896880967537,263.3152173913043,8.74443384223916,177.88938676268754
lead_1,P_wave,2.6416804583068108,3.0419350732017825,3.4421896880967537,263.3152173913043,9.993638676844753,104.31428697489197
lead_1,P_wave,2.6416804583068108,3.0419350732017825,3.4421896880967537,263.3152173913043,11.242843511450348,66.69825848688275
lead_1,P_wave,2.6416804583068108,3.0419350732017825,3.4421896880967537,263.3152173913043,-12.492048346055942,102.55434782608697
