Frequency,Amplitude
0.0,647783.9999999999
1.1210762331838564,23390.473950999363
2.242152466367713,5432.501877893135
3.363228699551569,7066.588815197964
4.484304932735426,4764.963704472053
5.605381165919282,2681.1164017893816
6.726457399103138,3814.486844932622
7.847533632286995,288.0300839196677
8.968609865470851,3390.6306460721535
10.089686098654708,766.3508213988881
11.210762331838565,2430.8784886408985
12.331838565022421,1531.557809729018
13.452914798206276,1598.7511196255782
14.573991031390133,1667.7671766623428
15.69506726457399,545.6545513681076
16.816143497757846,1926.5127601314946
17.937219730941703,173.5313280392556
19.05829596412556,1686.7322562972506
20.179372197309416,655.8065083426135
21.300448430493272,1343.0554087486466
22.42152466367713,1006.8707858087328
23.542600896860986,663.3976709657245
24.663677130044842,1275.1567598115028
25.7847533632287,337.94498011423264
26.905829596412552,1150.1077478860523
28.02690582959641,148.9133801287004
29.147982062780265,994.9077948708024
30.269058295964122,500.2876851310125
31.39013452914798,750.429665950389
32.511210762331835,974.8584687399544
33.63228699551569,354.7558773308245
34.75336322869955,769.7617470866815
35.874439461883405,125.52362528024986
36.99551569506726,782.273831105486
38.11659192825112,315.2131755792691
39.237668161434975,574.2260113007673
40.35874439461883,473.1108996067786
41.47982062780269,387.1263055913998
42.600896860986545,425.270004640345
43.7219730941704,218.8691795506445
44.84304932735426,638.9318149426306
45.964125560538115,156.38549100757484
47.08520179372197,517.042502682962
48.20627802690583,231.56039879581135
49.327354260089685,418.4145461840099
50.44843049327354,447.3749053883762
51.5695067264574,170.4277075326793
52.690582959641254,581.8592690365701
53.811659192825104,77.37651983254692
54.93273542600896,610.0449156079719
56.05381165919282,251.71643504512335
57.174887892376674,454.2787464294381
58.29596412556053,499.0426855985088
59.41704035874439,173.57961247181944
60.538116591928244,409.8864137064091
61.6591928251121,80.5816763907723
62.78026905829596,475.05871472757
63.901345291479814,225.03434827265784
65.02242152466367,473.377029046186
66.14349775784753,322.7216804864925
67.26457399103138,228.2865518288038
68.38565022421524,371.85601350434
69.5067264573991,229.9986788708395
70.62780269058295,383.2353653992255
71.74887892376681,137.12623336583627
72.86995515695067,317.09037629515547
73.99103139013452,199.3862044768516
75.11210762331838,195.95387427053174
76.23318385650224,328.4807068419999
77.3542600896861,177.05736640882617
78.47533632286995,337.73462181041714
79.5964125560538,230.3524430693989
80.71748878923766,185.67133591759813
81.83856502242152,139.31865970023324
82.95964125560538,387.54211132621947
84.08071748878923,330.21742465344374
85.20179372197309,154.3998687738564
